Timestamp,CO2
1540920970,551
1540920980,551
1540920990,550
1540921000,550
1540921010,550
1540921020,550
1540921030,551
1540921040,551
1540921050,550
1540921060,550
1540921070,549
1540921080,548
1540921090,548
1540921100,548
1540921110,548
1540921120,550
1540921130,550
1540921140,550
1540921150,549
1540921160,549
1540921170,549
1540921180,549
1540921190,549
1540921200,549
1540921210,548
1540921220,549
1540921230,549
1540921240,548
1540921250,548
1540921260,549
1540921270,549
1540921280,549
1540921290,549
1540921300,548
1540921310,549
1540921320,549
1540921330,550
1540921340,549
1540921350,549
1540921360,548
1540921370,548
1540921380,548
1540921390,548
1540921400,548
1540921410,548
1540921420,548
1540921430,548
1540921440,548
1540921450,548
1540921460,548
1540921470,548
1540921480,548
1540921490,548
1540921500,548
1540921510,548
1540921520,548
1540921530,548
1540921540,548
1540921550,548
1540921560,548
1540921570,548
1540921580,548
1540921590,548
1540921600,547
1540921610,547
1540921620,547
1540921630,547
1540921640,547
1540921650,547
1540921660,547
1540921670,547
1540921680,547
1540921691,547
1540921701,547
1540921711,547
1540921721,547
1540921731,547
1540921741,547
1540921751,547
1540921761,547
1540921771,547
1540921781,548
1540921791,548
1540921801,547
1540921811,548
1540921821,548
1540921831,548
1540921841,548
1540921851,548
1540921861,548
1540921871,548
1540921881,548
1540921891,547
1540921901,548
1540921911,547
1540921921,547
1540921931,547
1540921941,546
1540921951,546
1540921961,546
1540921971,545
1540921981,544
1540921991,544
1540922001,545
1540922011,545
1540922021,546
1540922031,546
1540922041,547
1540922051,547
1540922061,547
1540922071,547
1540922081,547
1540922091,547
1540922101,547
1540922111,547
1540922121,547
1540922131,547
1540922141,547
1540922151,547
1540922161,547
1540922171,547
1540922181,547
1540922191,546
1540922201,546
1540922211,546
1540922221,547
1540922231,546
1540922241,546
1540922251,545
1540922261,545
1540922271,545
1540922281,545
1540922291,546
1540922301,546
1540922311,547
1540922321,546
1540922331,546
1540922341,546
1540922351,545
1540922361,545
1540922371,545
1540922381,545
1540922391,545
1540922401,545
1540922411,545
1540922421,545
1540922431,545
1540922441,544
1540922451,544
1540922461,545
1540922471,545
1540922481,545
1540922491,545
1540922501,545
1540922511,545
1540922521,546
1540922531,546
1540922541,546
1540922551,545
1540922561,545
1540922571,545
1540922581,545
1540922591,545
1540922601,545
1540922611,544
1540922621,544
1540922631,544
1540922641,544
1540922651,544
1540922661,544
1540922671,544
1540922681,544
1540922691,544
1540922701,544
1540922711,544
1540922721,544
1540922731,544
1540922741,544
1540922751,544
1540922761,544
1540922771,544
1540922781,544
1540922791,544
1540922801,544
1540922811,544
1540922821,544
1540922831,544
1540922841,544
1540922851,544
1540922861,544
1540922871,544
1540922881,544
1540922891,544
1540922901,544
1540922911,537
1540922921,542
1540922931,544
1540922941,542
1540922951,542
1540922961,539
1540922971,537
1540922981,537
1540922991,543
1540923001,540
1540923012,544
1540923022,544
1540923032,544
1540923042,544
1540923052,544
1540923062,544
1540923072,544
1540923082,544
1540923092,540
1540923102,538
1540923112,542
1540923122,544
1540923132,544
1540923142,544
1540923152,544
1540923162,544
1540923172,544
1540923182,544
1540923192,544
1540923202,544
1540923212,544
1540923222,544
1540923232,545
1540923242,544
1540923252,545
1540923262,545
1540923272,546
1540923282,544
1540923292,545
1540923302,545
1540923312,545
1540923322,544
1540923332,544
1540923342,544
1540923352,544
1540923362,544
1540923372,544
1540923382,544
1540923392,544
1540923402,541
1540923412,542
1540923422,544
1540923432,544
1540923442,544
1540923452,544
1540923462,544
1540923472,544
1540923482,544
1540923492,544
1540923502,545
1540923512,545
1540923522,544
1540923532,544
1540923542,544
1540923552,542
1540923562,542
1540923572,544
1540923582,544
1540923592,539
1540923602,544
1540923612,544
1540923622,544
1540923632,544
1540923642,545
1540923652,545
1540923662,545
1540923672,544
1540923682,544
1540923692,543
1540923702,539
1540923712,541
1540923722,540
1540923732,537
1540923742,542
1540923752,543
1540923762,538
1540923772,539
1540923782,537
1540923792,537
1540923802,537
1540923812,536
1540923822,536
1540923832,536
1540923842,537
1540923852,537
1540923862,537
1540923872,544
1540923882,544
1540923892,544
1540923902,544
1540923912,544
1540923922,544
1540923932,544
1540923942,544
1540923952,544
1540923962,544
1540923972,544
1540923982,544
1540923992,544
1540924002,544
1540924012,544
1540924022,544
1540924032,544
1540924042,543
1540924052,539
1540924062,541
1540924072,537
1540924082,537
1540924092,539
1540924102,543
1540924112,544
1540924122,544
1540924132,544
1540924142,544
1540924152,544
1540924162,544
1540924172,544
1540924182,544
1540924192,544
1540924202,544
1540924212,544
1540924222,544
1540924232,544
1540924242,544
1540924252,544
1540924262,544
1540924272,544
1540924282,544
1540924292,544
1540924302,544
1540924312,544
1540924322,544
1540924333,544
1540924343,544
1540924353,544
1540924363,544
1540924373,539
1540924383,544
1540924393,544
1540924403,544
1540924413,544
1540924423,544
1540924433,544
1540924443,544
1540924453,544
1540924463,544
1540924473,544
1540924483,544
1540924493,540
1540924503,537
1540924513,536
1540924523,536
1540924533,536
1540924543,535
1540924553,534
1540924563,535
1540924573,537
1540924583,535
1540924593,536
1540924603,536
1540924613,536
1540924623,536
1540924633,536
1540924643,536
1540924653,537
1540924663,539
1540924673,537
1540924683,542
1540924693,537
1540924703,537
1540924713,537
1540924723,537
1540924733,536
1540924743,536
1540924753,537
1540924763,536
1540924773,537
1540924783,539
1540924793,537
1540924803,537
1540924813,536
1540924823,536
1540924833,536
1540924843,536
1540924853,536
1540924863,536
1540924873,536
1540924883,536
1540924893,536
1540924903,536
1540924913,536
1540924923,536
1540924933,536
1540924943,536
1540924953,537
1540924963,537
1540924973,537
1540924983,539
1540924993,542
1540925003,542
1540925013,544
1540925023,542
1540925033,537
1540925043,538
1540925053,541
1540925063,544
1540925073,544
1540925083,542
1540925093,544
1540925103,537
1540925113,541
1540925123,537
1540925133,536
1540925143,536
1540925153,536
1540925163,536
1540925173,536
1540925183,536
1540925193,536
1540925203,536
1540925213,536
1540925223,536
1540925233,536
1540925243,536
1540925253,536
1540925263,536
1540925273,536
1540925283,536
1540925293,536
1540925303,535
1540925313,535
1540925323,535
1540925333,535
1540925343,535
1540925353,535
1540925363,535
1540925373,535
1540925383,535
1540925393,535
1540925403,535
1540925413,535
1540925423,536
1540925433,536
1540925443,536
1540925453,536
1540925463,536
1540925473,536
1540925483,536
1540925493,536
1540925503,536
1540925513,536
1540925523,536
1540925533,536
1540925543,536
1540925553,536
1540925563,536
1540925573,536
1540925583,536
1540925593,536
1540925603,536
1540925613,536
1540925623,535
1540925633,535
1540925643,535
1540925653,535
1540925664,536
1540925674,536
1540925684,536
1540925694,536
1540925704,536
1540925714,536
1540925724,536
1540925734,535
1540925744,534
1540925754,534
1540925764,534
1540925774,534
1540925784,535
1540925794,534
1540925804,533
1540925814,533
1540925824,533
1540925834,532
1540925844,533
1540925854,533
1540925864,534
1540925874,535
1540925884,535
1540925894,535
1540925904,535
1540925914,535
1540925924,535
1540925934,535
1540925944,535
1540925954,535
1540925964,535
1540925974,535
1540925984,535
1540925994,535
1540926004,535
1540926014,535
1540926024,535
1540926034,535
1540926044,535
1540926054,535
1540926064,535
1540926074,535
1540926084,535
1540926094,535
1540926104,535
1540926114,535
1540926124,535
1540926134,535
1540926144,535
1540926154,535
1540926164,535
1540926174,535
1540926184,535
1540926194,535
1540926204,535
1540926214,534
1540926224,534
1540926234,535
1540926244,535
1540926254,535
1540926264,535
1540926274,535
1540926284,535
1540926294,536
1540926304,535
1540926314,535
1540926324,535
1540926334,535
1540926344,535
1540926354,536
1540926364,536
1540926374,536
1540926384,536
1540926394,536
1540926404,536
1540926414,535
1540926424,535
1540926434,535
1540926444,536
1540926454,536
1540926464,536
1540926474,536
1540926484,537
1540926494,537
1540926504,537
1540926514,536
1540926524,535
1540926534,535
1540926544,536
1540926554,536
1540926564,536
1540926574,536
1540926584,536
1540926594,536
1540926604,537
1540926614,537
1540926624,537
1540926634,543
1540926644,536
1540926654,536
1540926664,536
1540926674,536
1540926684,535
1540926694,535
1540926704,535
1540926714,535
1540926724,535
1540926734,535
1540926744,535
1540926754,535
1540926764,535
1540926774,536
1540926784,535
1540926794,535
1540926804,535
1540926814,535
